,Matrikkel / Org-Anr,Address,PostalCode,Area,Housing type,Primary room,Usable area,Gross area,Year of construction,Floor,Plot size,Last sold,Price,Joint debt at last sale,Total price at last sale,Number of rooms,Number of bedrooms,Registered date,Turnover rate,Broker,Postal code,Broker encoded,Housing type encoded,Balcony_Yes,Parking_Yes
12121,5001-49/307/0/13,Ã˜vre GranÃ¥slia 5,7047,TRONDHEIM,Selveierleilighet,51,67,0,2018,2,5974.8,2022-11-30,3550000,0.0,3550000.0,3,2,2022-10-18,43,Eiendomsmegler 1,7047,3,7,1,0
12122,5001-315/529/0/8,Brudalsvegen 15 A,7088,HEIMDAL,Selveierleilighet,66,71,0,2002,2,2840.5,2022-11-30,2950000,0.0,2950000.0,3,2,2022-11-10,20,Eiendomsmegler 1,7088,3,7,1,0
12123,5001-406/5/0/5,Ã˜vre alle 3,7030,TRONDHEIM,Selveierleilighet,38,38,38,1899,3,1942.6,2022-11-30,2620000,0.0,2620000.0,0,1,2022-08-19,103,DNB Eiendom,7030,1,7,0,0
12124,950997095/55,Rypevegen 58 H,7082,KATTEM,Borettslagsleilighet,96,96,106,1977,3,47117.1,2022-11-30,2840000,452300.0,3292300.0,4,2,2022-09-30,61,DNB Eiendom,7082,1,3,1,0
12125,985631433/2,Ole Aasveds veg 6,7049,TRONDHEIM,Borettslagsleilighet,60,60,65,2003,1,5748.9,2022-11-30,2400000,421417.0,2821417.0,3,1,2022-11-23,7,Proaktiv,7049,10,3,1,1
12126,956383773/6,Konglevegen 6 A,7058,CHARLOTTENLUND,Borettslagsleilighet,54,54,0,1959,3,2800.6,2022-11-30,2400000,327958.0,2727958.0,3,1,2022-10-21,40,Eiendomsmegler 1,7058,3,3,0,0
12127,5001-198/42/0/30,Kirkeringen 2,7080,HEIMDAL,Selveierleilighet,0,69,0,2022,4,6762.0,2022-11-30,4660000,0.0,4660000.0,3,0,2022-11-30,0,Other,7080,8,7,0,0
12128,5001-16/489/0/5,Brundalen 17 A,7058,CHARLOTTENLUND,Selveierleilighet,48,48,0,2013,1,1527.0,2022-11-30,2750000,0.0,2750000.0,2,1,2022-11-22,8,Heimdal Eiendomsmegling,7058,4,7,0,0
12129,946684023/6,Harry Borthens vei 13,7040,TRONDHEIM,Borettslagsleilighet,47,56,60,1962,2,2456.9,2022-11-30,2300000,153288.0,2453288.0,2,1,2022-11-13,17,Eiendomsmegler 1,7040,3,3,1,0
12130,5001-198/42/0/2,Kirkeringen 2,7080,HEIMDAL,Selveierleilighet,0,61,0,2022,1,6762.0,2022-11-30,3165000,0.0,3165000.0,3,0,2022-11-30,0,Other,7080,8,7,0,0
